participant,stimulus,timestamp_ms,x,y,screen_w,screen_h
P01,stim_B_03.png,2218,602,60,1536,738
P01,stim_B_03.png,2249,586,83,1536,738
P01,stim_B_03.png,2283,569,100,1536,738
P01,stim_B_03.png,2316,559,115,1536,738
P01,stim_B_03.png,2349,549,127,1536,738
P01,stim_B_03.png,34,538,135,1536,738
P01,stim_B_03.png,67,533,142,1536,738
P01,stim_B_03.png,100,531,146,1536,738
P01,stim_B_03.png,134,529,149,1536,738
P01,stim_B_03.png,168,531,151,1536,738
P01,stim_B_03.png,201,530,151,1536,738
P01,stim_B_03.png,238,501,196,1536,738
P01,stim_B_03.png,271,466,236,1536,738
P01,stim_B_03.png,305,440,266,1536,738
P01,stim_B_03.png,338,424,291,1536,738
P01,stim_B_03.png,371,410,313,1536,738
P01,stim_B_03.png,404,402,326,1536,738
P01,stim_B_03.png,438,389,340,1536,738
P01,stim_B_03.png,472,384,347,1536,738
P01,stim_B_03.png,505,385,350,1536,738
P01,stim_B_03.png,538,389,334,1536,738
P01,stim_B_03.png,570,403,317,1536,738
P01,stim_B_03.png,603,412,304,1536,738
P01,stim_B_03.png,635,429,285,1536,738
P01,stim_B_03.png,668,442,263,1536,738
P01,stim_B_03.png,701,454,247,1536,738
P01,stim_B_03.png,734,462,241,1536,738
P01,stim_B_03.png,767,470,235,1536,738
P01,stim_B_03.png,801,469,234,1536,738
P01,stim_B_03.png,833,471,226,1536,738
P01,stim_B_03.png,867,478,212,1536,738
P01,stim_B_03.png,899,495,191,1536,738
P01,stim_B_03.png,934,499,181,1536,738
P01,stim_B_03.png,968,506,173,1536,738
P01,stim_B_03.png,1000,512,164,1536,738
P01,stim_B_03.png,1033,521,154,1536,738
P01,stim_B_03.png,1066,511,164,1536,738
P01,stim_B_03.png,1101,505,176,1536,738
P01,stim_B_03.png,1134,494,194,1536,738
P01,stim_B_03.png,1167,488,199,1536,738
P01,stim_B_03.png,1201,492,198,1536,738
P01,stim_B_03.png,1232,503,181,1536,738
P01,stim_B_03.png,1266,513,166,1536,738
P01,stim_B_03.png,1299,520,154,1536,738
P01,stim_B_03.png,1334,530,145,1536,738
P01,stim_B_03.png,1367,533,137,1536,738
P01,stim_A_01.png,12,543,135,1536,738
P01,stim_A_01.png,47,537,133,1536,738
P01,stim_A_01.png,78,535,133,1536,738
P01,stim_A_01.png,112,543,135,1536,738
P01,stim_A_01.png,146,541,134,1536,738
P01,stim_A_01.png,179,541,134,1536,738
P01,stim_A_01.png,213,540,134,1536,738
P01,stim_A_01.png,247,542,134,1536,738
P01,stim_A_01.png,280,537,133,1536,738
P01,stim_A_01.png,312,542,134,1536,738
P01,stim_A_01.png,346,541,134,1536,738
P01,stim_A_01.png,380,542,134,1536,738
P01,stim_A_01.png,413,542,134,1536,738
P01,stim_A_01.png,447,542,134,1536,738
P01,stim_A_01.png,479,542,134,1536,738
P01,stim_A_01.png,512,544,135,1536,738
P01,stim_A_01.png,549,545,135,1536,738
P01,stim_A_01.png,582,543,135,1536,738
P01,stim_A_01.png,613,542,134,1536,738
P01,stim_A_01.png,645,540,134,1536,738
P01,stim_A_01.png,680,544,135,1536,738
P01,stim_A_01.png,712,541,134,1536,738
P01,stim_A_01.png,746,545,135,1536,738
